booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012221559RT11,21559,2022-04-28,2022-05-01,2022-05-03,2.0,RT1,Bookkaru,3.0,Checked Out,1105,1105
May012221559RT12,21559,2022-04-29,2022-05-01,2022-05-06,2.0,RT1,DeBookkarus,5.0,Checked Out,1105,1105
May012221559RT13,21559,2022-04-27,2022-05-01,2022-05-02,1.0,RT1,Eventica Travels,,Cancelled,1105,442
May012221559RT14,21559,2022-04-29,2022-05-01,2022-05-03,3.0,RT1,Direct Offline,5.0,Checked Out,1216,1216
May012221559RT15,21559,2022-04-29,2022-05-01,2022-05-02,3.0,RT1,Others,5.0,Checked Out,1216,1216
May012221559RT16,21559,2022-04-11,2022-05-01,2022-05-02,2.0,RT1,Eventica Travels,,Checked Out,1105,1105
May012221559RT17,21559,2022-04-30,2022-05-01,2022-05-02,2.0,RT1,Others,,Checked Out,1105,1105
May012221559RT18,21559,2022-04-28,2022-05-01,2022-05-03,1.0,RT1,Direct Online,,Cancelled,1105,442
May012221559RT19,21559,2022-04-29,2022-05-01,2022-05-02,1.0,RT1,Others,5.0,Checked Out,1105,1105
May012221559RT110,21559,2022-04-27,2022-05-01,2022-05-06,2.0,RT1,Others,5.0,Checked Out,1105,1105
May012221559RT111,21559,2022-04-28,2022-05-01,2022-05-02,2.0,RT1,DeBookkarus,,Checked Out,1105,1105
May012221559RT112,21559,2022-04-11,2022-05-01,2022-05-06,1.0,RT1,Bookkaru,5.0,Checked Out,1105,1105
May012221559RT113,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT1,Others,,Cancelled,1105,442
May012221559RT114,21559,2022-04-10,2022-05-01,2022-05-07,1.0,RT1,Bookings_Com,,Checked Out,1105,1105
May012221559RT115,21559,2022-05-01,2022-05-01,2022-05-03,2.0,RT1,Eventica Travels,,Checked Out,1105,1105
May012221559RT116,21559,2022-04-27,2022-05-01,2022-05-06,3.0,RT1,Bookkaru,,Cancelled,1216,486
May012221559RT117,21559,2022-04-25,2022-05-01,2022-05-03,4.0,RT1,Direct Offline,,Cancelled,1326,530
May012221559RT118,21559,2022-04-27,2022-05-01,2022-05-03,2.0,RT1,Others,,No Show,1105,1105
May012221559RT119,21559,2022-04-29,2022-05-01,2022-05-06,2.0,RT1,Direct Offline,5.0,Checked Out,1105,1105
May012221559RT120,21559,2022-04-27,2022-05-01,2022-05-02,2.0,RT1,DeBookkarus,5.0,Checked Out,1105,1105
May012221559RT121,21559,2022-04-29,2022-05-01,2022-05-03,4.0,RT1,Others,4.0,Checked Out,1326,1326
May012221559RT122,21559,2022-04-27,2022-05-01,2022-05-06,2.0,RT1,DeBookkarus,,Checked Out,1105,1105
May012221559RT123,21559,2022-04-29,2022-05-01,2022-05-06,1.0,RT1,Bookings_Com,,Cancelled,1105,442
May012221559RT124,21559,2022-04-27,2022-05-01,2022-05-04,2.0,RT1,Others,,Cancelled,1105,442
May012221559RT125,21559,2022-04-29,2022-05-01,2022-05-04,2.0,RT1,Bookings_Com,,Checked Out,1105,1105
May012221559RT21,21559,2022-04-27,2022-05-01,2022-05-02,3.0,RT2,Direct Offline,,Checked Out,1683,1683
May012221559RT22,21559,2022-04-28,2022-05-01,2022-05-06,2.0,RT2,Direct Online,3.0,Checked Out,1530,1530
May012221559RT23,21559,2022-04-25,2022-05-01,2022-05-02,3.0,RT2,DeBookkarus,5.0,Checked Out,1683,1683
May012221559RT24,21559,2022-04-26,2022-05-01,2022-05-02,1.0,RT2,Bookkaru,,Checked Out,1530,1530
May012221559RT25,21559,2022-05-01,2022-05-01,2022-05-04,2.0,RT2,Others,5.0,Checked Out,1530,1530
May012221559RT26,21559,2022-04-29,2022-05-01,2022-05-07,2.0,RT2,Others,,Checked Out,1530,1530
May012221559RT27,21559,2022-05-01,2022-05-01,2022-05-02,4.0,RT2,Others,,Cancelled,1836,734
May012221559RT28,21559,2022-04-28,2022-05-01,2022-05-03,2.0,RT2,Bookkaru,3.0,Checked Out,1530,1530
May012221559RT29,21559,2022-04-25,2022-05-01,2022-05-05,3.0,RT2,DeBookkarus,5.0,Checked Out,1683,1683
May012221559RT210,21559,2022-04-30,2022-05-01,2022-05-05,3.0,RT2,Bookkaru,,Checked Out,1683,1683
May012221559RT211,21559,2022-04-25,2022-05-01,2022-05-03,4.0,RT2,Direct Online,5.0,Checked Out,1836,1836
May012221559RT212,21559,2022-04-25,2022-05-01,2022-05-07,2.0,RT2,Direct Online,,Cancelled,1530,612
May012221559RT213,21559,2022-04-27,2022-05-01,2022-05-02,1.0,RT2,Bookings_Com,5.0,Checked Out,1530,1530
May012221559RT214,21559,2022-04-29,2022-05-01,2022-05-06,2.0,RT2,DeBookkarus,1.0,Checked Out,1530,1530
May012221559RT215,21559,2022-04-30,2022-05-01,2022-05-02,1.0,RT2,DeBookkarus,,Cancelled,1530,612
May012221559RT216,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT2,DeBookkarus,5.0,Checked Out,1530,1530
May012221559RT217,21559,2022-04-28,2022-05-01,2022-05-03,4.0,RT2,Bookings_Com,,Checked Out,1836,1836
May012221559RT218,21559,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,DeBookkarus,2.0,Checked Out,1530,1530
May012221559RT219,21559,2022-04-29,2022-05-01,2022-05-02,3.0,RT2,Others,,No Show,1683,1683
May012221559RT220,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT2,DeBookkarus,,Cancelled,1530,612
May012221559RT221,21559,2022-04-25,2022-05-01,2022-05-02,2.0,RT2,Others,3.0,Checked Out,1530,1530
May012221559RT222,21559,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,Direct Online,,Cancelled,1530,612
May012221559RT223,21559,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,Bookkaru,,Checked Out,1530,1530
May012221559RT224,21559,2022-04-28,2022-05-01,2022-05-03,1.0,RT2,DeBookkarus,1.0,Checked Out,1530,1530
May012221559RT225,21559,2022-04-30,2022-05-01,2022-05-05,2.0,RT2,DeBookkarus,1.0,Checked Out,1530,1530
May012221559RT226,21559,2022-04-29,2022-05-01,2022-05-02,4.0,RT2,Others,5.0,Checked Out,1836,1836
May012221559RT227,21559,2022-04-29,2022-05-01,2022-05-03,2.0,RT2,Eventica Travels,,No Show,1530,1530
May012221559RT228,21559,2022-04-28,2022-05-01,2022-05-02,4.0,RT2,Bookings_Com,5.0,Checked Out,1836,1836
May012221559RT229,21559,2022-04-24,2022-05-01,2022-05-07,2.0,RT2,Others,5.0,Checked Out,1530,1530
May012221559RT230,21559,2022-04-24,2022-05-01,2022-05-02,2.0,RT2,Eventica Travels,,Checked Out,1530,1530
May012221559RT231,21559,2022-04-29,2022-05-01,2022-05-03,2.0,RT2,Others,,Checked Out,1530,1530
May012221559RT232,21559,2022-05-01,2022-05-01,2022-05-05,1.0,RT2,Others,,Checked Out,1530,1530
May012221559RT233,21559,2022-04-27,2022-05-01,2022-05-03,2.0,RT2,Others,4.0,Checked Out,1530,1530
May012221559RT234,21559,2022-04-26,2022-05-01,2022-05-07,2.0,RT2,Bookkaru,,No Show,1530,1530
May012221559RT235,21559,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,Others,,Checked Out,1530,1530
May012221559RT31,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT3,Direct Online,,Cancelled,2040,816
May012221559RT32,21559,2022-04-29,2022-05-01,2022-05-02,6.0,RT3,Direct Online,,Checked Out,2856000,2856
May012221559RT33,21559,2022-04-28,2022-05-01,2022-05-07,3.0,RT3,Direct Offline,,Cancelled,2244,898
May012221559RT34,21559,2022-04-10,2022-05-01,2022-05-02,6.0,RT3,Bookings_Com,3.0,Checked Out,2856,2856
May012221559RT35,21559,2022-04-27,2022-05-01,2022-05-03,3.0,RT3,Eventica Travels,,Checked Out,2244,2244
May012221559RT36,21559,2022-04-29,2022-05-01,2022-05-04,3.0,RT3,Others,4.0,Checked Out,2244,2244
May012221559RT37,21559,2022-04-28,2022-05-01,2022-05-06,2.0,RT3,DeBookkarus,,Checked Out,2040,2040
May012221559RT38,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT3,Others,4.0,Checked Out,2040,2040
May012221559RT39,21559,2022-04-28,2022-05-01,2022-05-03,2.0,RT3,DeBookkarus,3.0,Checked Out,2040,2040
May012221559RT310,21559,2022-04-28,2022-05-01,2022-05-03,2.0,RT3,Direct Offline,,Checked Out,2040,2040
May012221559RT311,21559,2022-04-26,2022-05-01,2022-05-05,2.0,RT3,Bookings_Com,5.0,Checked Out,2040,2040
May012221559RT312,21559,2022-04-29,2022-05-01,2022-05-03,3.0,RT3,Eventica Travels,,Checked Out,2244,2244
May012221559RT313,21559,2022-04-24,2022-05-01,2022-05-03,1.0,RT3,DeBookkarus,5.0,Checked Out,2040,2040
May012221559RT314,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT3,Direct Online,5.0,Checked Out,2040,2040
May012221559RT315,21559,2022-04-25,2022-05-01,2022-05-02,2.0,RT3,Direct Online,,Checked Out,2040,2040
May012221559RT316,21559,2022-04-28,2022-05-01,2022-05-06,2.0,RT3,Eventica Travels,4.0,Checked Out,2040,2040
May012221559RT317,21559,2022-04-27,2022-05-01,2022-05-02,2.0,RT3,Others,,Cancelled,2040,816
May012221559RT318,21559,2022-04-10,2022-05-01,2022-05-02,2.0,RT3,Direct Online,,Checked Out,2040,2040
May012221559RT319,21559,2022-04-27,2022-05-01,2022-05-07,2.0,RT3,Others,,Checked Out,2040,2040
May012221559RT320,21559,2022-04-07,2022-05-01,2022-05-02,3.0,RT3,Others,,Cancelled,2244,898
May012221559RT321,21559,2022-04-26,2022-05-01,2022-05-03,2.0,RT3,Bookkaru,,Cancelled,2040,816
May012221559RT322,21559,2022-04-24,2022-05-01,2022-05-02,3.0,RT3,Direct Offline,4.0,Checked Out,2244,2244
May012221559RT323,21559,2022-04-28,2022-05-01,2022-05-07,2.0,RT3,DeBookkarus,2.0,Checked Out,2040,2040
May012221559RT324,21559,2022-04-28,2022-05-01,2022-05-06,6.0,RT3,DeBookkarus,,Cancelled,2856,1142
May012221559RT325,21559,2022-04-30,2022-05-01,2022-05-04,2.0,RT3,DeBookkarus,,Cancelled,2040,816
May012221559RT326,21559,2022-04-27,2022-05-01,2022-05-02,3.0,RT3,Others,,Cancelled,2244,898
May012221559RT327,21559,2022-04-29,2022-05-01,2022-05-02,3.0,RT3,Others,4.0,Checked Out,2244,2244
May012221559RT41,21559,2022-04-27,2022-05-01,2022-05-07,4.0,RT4,Others,,Checked Out,3876,3876
May012221559RT42,21559,2022-04-11,2022-05-01,2022-05-03,2.0,RT4,Direct Offline,,Cancelled,3230,1292
May012221559RT43,21559,2022-05-01,2022-05-01,2022-05-02,6.0,RT4,Eventica Travels,3.0,Checked Out,4522,4522
May012221559RT44,21559,2022-04-28,2022-05-01,2022-05-05,2.0,RT4,Others,,Checked Out,3230,3230
May012221559RT45,21559,2022-04-28,2022-05-01,2022-05-04,2.0,RT4,Others,5.0,Checked Out,3230,3230
May012221559RT46,21559,2022-04-29,2022-05-01,2022-05-02,2.0,RT4,Others,,Cancelled,3230,1292
May012221559RT47,21559,2022-04-28,2022-05-01,2022-05-03,3.0,RT4,Others,5.0,Checked Out,3553,3553
May012221559RT48,21559,2022-04-26,2022-05-01,2022-05-02,2.0,RT4,DeBookkarus,5.0,Checked Out,3230,3230
May012221559RT49,21559,2022-04-28,2022-05-01,2022-05-03,2.0,RT4,Others,,Checked Out,3230,3230
May012221559RT410,21559,2022-04-30,2022-05-01,2022-05-06,2.0,RT4,Bookings_Com,,No Show,3230,3230
May012221559RT411,21559,2022-04-28,2022-05-01,2022-05-07,2.0,RT4,DeBookkarus,,Checked Out,3230,3230
May012221559RT412,21559,2022-04-29,2022-05-01,2022-05-07,2.0,RT4,DeBookkarus,,Cancelled,3230,1292
May012221559RT413,21559,2022-04-24,2022-05-01,2022-05-07,5.0,RT4,Bookings_Com,,Checked Out,4199,4199
May012221559RT414,21559,2022-04-11,2022-05-01,2022-05-07,2.0,RT4,Others,2.0,Checked Out,3230,3230
May012221559RT415,21559,2022-04-28,2022-05-01,2022-05-02,2.0,RT4,Others,5.0,Checked Out,3230,3230
May012221559RT416,21559,2022-04-25,2022-05-01,2022-05-03,2.0,RT4,Eventica Travels,,Cancelled,3230,1292
May012221559RT417,21559,2022-04-30,2022-05-01,2022-05-02,4.0,RT4,Others,,Cancelled,3876,1550
May012221560RT11,21560,2022-05-01,2022-05-01,2022-05-03,1.0,RT1,Direct Offline,,Checked Out,910,910
May012221560RT12,21560,2022-04-30,2022-05-01,2022-05-02,2.0,RT1,Eventica Travels,,Checked Out,910,910
May012221560RT13,21560,2022-04-27,2022-05-01,2022-05-02,1.0,RT1,Bookkaru,3.0,Checked Out,910,910
May012221560RT14,21560,2022-05-01,2022-05-01,2022-05-04,1.0,RT1,Bookings_Com,1.0,Checked Out,910,910
May012221560RT15,21560,2022-05-01,2022-05-01,2022-05-03,2.0,RT1,DeBookkarus,,Checked Out,910,910
May012221560RT16,21560,2022-04-28,2022-05-01,2022-05-03,3.0,RT1,DeBookkarus,,Checked Out,1001,1001
May012221560RT17,21560,2022-04-10,2022-05-01,2022-05-02,1.0,RT1,Others,,Cancelled,910,364
May012221560RT18,21560,2022-04-30,2022-05-01,2022-05-02,4.0,RT1,DeBookkarus,,Checked Out,1092,1092
May012221560RT19,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT1,Others,,Cancelled,910,364
May012221560RT110,21560,2022-04-25,2022-05-01,2022-05-02,1.0,RT1,Others,2.0,Checked Out,910,910
May012221560RT111,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT1,Others,,Checked Out,910,910
May012221560RT112,21560,2022-04-30,2022-05-01,2022-05-05,2.0,RT1,Bookkaru,3.0,Checked Out,910,910
May012221560RT113,21560,2022-04-29,2022-05-01,2022-05-02,1.0,RT1,Direct Online,3.0,Checked Out,910,910
May012221560RT114,21560,2022-04-29,2022-05-01,2022-05-02,4.0,RT1,Others,4.0,Checked Out,1092,1092
May012221560RT115,21560,2022-04-24,2022-05-01,2022-05-02,3.0,RT1,Others,,Checked Out,1001,1001
May012221560RT116,21560,2022-04-27,2022-05-01,2022-05-02,1.0,RT1,DeBookkarus,,Cancelled,910,364
May012221560RT117,21560,2022-04-10,2022-05-01,2022-05-03,1.0,RT1,Others,5.0,Checked Out,910,910
May012221560RT118,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT1,Direct Offline,,Checked Out,910,910
May012221560RT119,21560,2022-04-30,2022-05-01,2022-05-03,3.0,RT1,Others,,Checked Out,1001,1001
May012221560RT120,21560,2022-04-28,2022-05-01,2022-05-02,3.0,RT1,DeBookkarus,,Cancelled,1001,400
May012221560RT121,21560,2022-04-26,2022-05-01,2022-05-02,1.0,RT1,Direct Online,,Checked Out,910,910
May012221560RT122,21560,2022-05-01,2022-05-01,2022-05-04,4.0,RT1,Others,,Checked Out,1092,1092
May012221560RT123,21560,2022-04-25,2022-05-01,2022-05-02,1.0,RT1,Direct Online,,Checked Out,910,910
May012221560RT124,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT1,Direct Online,4.0,Checked Out,910,910
May012221560RT21,21560,2022-04-10,2022-05-01,2022-05-03,2.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT22,21560,2022-04-07,2022-05-01,2022-05-02,2.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT23,21560,2022-04-29,2022-05-01,2022-05-02,1.0,RT2,Eventica Travels,,Checked Out,1260,1260
May012221560RT24,21560,2022-04-29,2022-05-01,2022-05-02,1.0,RT2,Others,,Cancelled,1260,504
May012221560RT25,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT2,Others,,Cancelled,1260,504
May012221560RT26,21560,2022-04-30,2022-05-01,2022-05-07,4.0,RT2,Others,,Checked Out,1512,1512
May012221560RT27,21560,2022-04-27,2022-05-01,2022-05-04,1.0,RT2,DeBookkarus,2.0,Checked Out,1260,1260
May012221560RT28,21560,2022-05-01,2022-05-01,2022-05-02,3.0,RT2,Eventica Travels,3.0,Checked Out,1386,1386
May012221560RT29,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT2,Bookkaru,3.0,Checked Out,1260,1260
May012221560RT210,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT2,DeBookkarus,,Checked Out,1260,1260
May012221560RT211,21560,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT212,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT213,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT214,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT2,Others,3.0,Checked Out,1260,1260
May012221560RT215,21560,2022-04-27,2022-05-01,2022-05-02,2.0,RT2,Others,,Cancelled,1260,504
May012221560RT216,21560,2022-04-29,2022-05-01,2022-05-02,1.0,RT2,Bookings_Com,3.0,Checked Out,1260,1260
May012221560RT217,21560,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,Others,,Checked Out,1260,1260
May012221560RT218,21560,2022-04-30,2022-05-01,2022-05-03,1.0,RT2,Others,,Cancelled,1260,504
May012221560RT219,21560,2022-04-30,2022-05-01,2022-05-05,2.0,RT2,Others,,Cancelled,1260,504
May012221560RT220,21560,2022-04-29,2022-05-01,2022-05-02,1.0,RT2,Direct Online,,Checked Out,1260,1260
May012221560RT221,21560,2022-04-10,2022-05-01,2022-05-02,2.0,RT2,Others,,Checked Out,1260,1260
May012221560RT222,21560,2022-04-27,2022-05-01,2022-05-03,1.0,RT2,Eventica Travels,4.0,Checked Out,1260,1260
May012221560RT223,21560,2022-04-25,2022-05-01,2022-05-03,1.0,RT2,DeBookkarus,3.0,Checked Out,1260,1260
May012221560RT224,21560,2022-04-29,2022-05-01,2022-05-02,2.0,RT2,DeBookkarus,,Cancelled,1260,504
May012221560RT225,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT2,Direct Online,3.0,Checked Out,1260,1260
May012221560RT31,21560,2022-04-30,2022-05-01,2022-05-05,1.0,RT3,Others,4.0,Checked Out,1680,1680
May012221560RT32,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT3,Others,,Checked Out,1680,1680
May012221560RT33,21560,2022-04-29,2022-05-01,2022-05-03,1.0,RT3,Eventica Travels,2.0,Checked Out,1680,1680
May012221560RT34,21560,2022-05-01,2022-05-01,2022-05-03,1.0,RT3,Others,,Checked Out,1680,1680
May012221560RT35,21560,2022-05-01,2022-05-01,2022-05-02,2.0,RT3,Direct Offline,3.0,Checked Out,1680,1680
May012221560RT36,21560,2022-04-26,2022-05-01,2022-05-03,2.0,RT3,Others,,Checked Out,1680,1680
May012221560RT37,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT3,Others,,Checked Out,1680,1680
May012221560RT38,21560,2022-04-30,2022-05-01,2022-05-02,5.0,RT3,Others,,Cancelled,2184,874
May012221560RT39,21560,2022-04-30,2022-05-01,2022-05-02,1.0,RT3,Others,4.0,Checked Out,1680,1680
May012221560RT310,21560,2022-04-30,2022-05-01,2022-05-04,2.0,RT3,Direct Online,3.0,Checked Out,1680,1680
May012221560RT311,21560,2022-04-30,2022-05-01,2022-05-04,1.0,RT3,DeBookkarus,4.0,Checked Out,1680,1680
May012221560RT312,21560,2022-04-30,2022-05-01,2022-05-04,1.0,RT3,Direct Online,3.0,Checked Out,1680,1680
May012221560RT313,21560,2022-04-28,2022-05-01,2022-05-02,2.0,RT3,Others,3.0,Checked Out,1680,1680
May012221560RT314,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT3,Others,,Cancelled,1680,672
May012221560RT315,21560,2022-04-30,2022-05-01,2022-05-02,2.0,RT3,DeBookkarus,,Checked Out,1680,1680
May012221560RT41,21560,2022-04-30,2022-05-01,2022-05-04,1.0,RT4,Others,,No Show,2660,2660
May012221560RT42,21560,2022-04-30,2022-05-01,2022-05-04,1.0,RT4,Others,,Checked Out,2660,2660
May012221560RT43,21560,2022-04-07,2022-05-01,2022-05-02,2.0,RT4,Others,,Cancelled,2660,1064
May012221560RT44,21560,2022-05-01,2022-05-01,2022-05-02,1.0,RT4,Others,2.0,Checked Out,2660,2660
May012221560RT45,21560,2022-04-30,2022-05-01,2022-05-03,5.0,RT4,Others,3.0,Checked Out,3458,3458
May012221560RT46,21560,2022-05-01,2022-05-01,2022-05-02,2.0,RT4,Others,,Checked Out,2660,2660
May012221561RT11,21561,2022-04-07,2022-05-01,2022-05-03,2.0,RT1,Eventica Travels,,Checked Out,910,910
May012221561RT12,21561,2022-04-27,2022-05-01,2022-05-03,1.0,RT1,Bookings_Com,5.0,Checked Out,910,910
May012221561RT13,21561,2022-04-27,2022-05-01,2022-05-02,2.0,RT1,DeBookkarus,,Checked Out,910,910
May012221561RT14,21561,2022-05-01,2022-05-01,2022-05-02,2.0,RT1,Others,,Checked Out,910,910
May012221561RT15,21561,2022-04-27,2022-05-01,2022-05-04,3.0,RT1,Eventica Travels,,Checked Out,1001,1001
May012221561RT16,21561,2022-04-27,2022-05-01,2022-05-03,1.0,RT1,Direct Online,,Checked Out,910,910
May012221561RT17,21561,2022-04-30,2022-05-01,2022-05-02,3.0,RT1,Bookings_Com,,Checked Out,1001,1001
May012221561RT18,21561,2022-04-11,2022-05-01,2022-05-02,2.0,RT1,Others,,Checked Out,910,910
May012221561RT19,21561,2022-04-27,2022-05-01,2022-05-03,4.0,RT1,Others,,Checked Out,1092,1092
